orgao,logo,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020
Agricultura,http://movimentoacredito.org/dados/external_img/tractor_3.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2178649237472767,0.4666211426527493,0.7398451863685963,0.7745055151465722,0.7861659629077663,0.7635684856079593,0.7543522355157967,0.49393556884913004,0.24330900243308995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22522522522522515,0.35343035343035334,0.7336584903124826,1.4960875860749117,2.3035549724896662,3.1138030260837275,3.275573992452394,3.566211399794607,3.6144739480571553,3.7079865138081787,2.941446706788612,1.8172555052778232,0.68808329494636,0.34286071723178085,0.4566236822869363,0.5673249306446124,0.6795347630311753,0.6727082031622452,0.7815746453620207,0.8837646441685609,0.882302703954606
Cidadania,http://movimentoacredito.org/dados/external_img/people_3.png,1.4035087719298245,1.0563643150429265,0.938984660732843,0.7026298849043829,0.6969037730161566,0.691257063434497,0.6857642825179872,0.6787974215533091,0.671186289511585,0.5581919392290992,0.556700514918883,0.5559671243810879,0.662271019712637,0.6579137212376914,0.6557424043339893,0.5443190238763728,0.43432896528551473,0.32327661203326724,0.3243342087504871,0.32295561622452645,0.31992194244558014,0.3148316404888681,0.3131571707934207,0.3138164339350074,0.31855190702568154,0.4086618779698134,0.5144798710217641,0.5177590612803828,0.42932356003169847,0.32657820412178556,0.3208784933821056,0.32156335687169063,0.3194953611731217,0.31849071972965287,0.31646205469268046,0.3157901742336517,0.31513091109206504,0.3164747126394525,0.3188643457283605,0.32155227390691954,0.3284346860837179,0.3316709320384104,0.5611901326187043,0.7867944986589057,1.1276607886777381,1.2398942342445167,1.3591013323088577,1.360638670407939,1.353205991893583,1.3237403874619562,1.2855942879006363,1.2633803958879188,1.159331176083072,1.1645724207476487,1.1658950933398884,1.2699443131447354,1.2699443131447354,1.278058973292625,1.2808338894381277,1.284852455212003,1.2741007424977668,1.3667102965471447,1.4629151797743212,1.56093822004141,1.5480766491291387,1.4349905125338278,1.3267418372388267,1.3190190661850083,1.314091607614156,1.307950836578945,1.2024361141187383,1.1976263262003244,1.2935323383084585,1.3096010630079424,1.4255411861806253,1.5206213409622726,1.7004550639353393,2.2189533680950215,2.727682361405512,3.396927858221048,3.6410752253207774,4.025953214789244,4.143057569879868,4.1537246978277444,4.075975826681547,4.141994568589617,4.385698988932359,4.131649439108162,3.751466528396078,3.228418601875294,2.9353438901959312,2.38206632199299,1.9066283186945958
Ciência & Comunicações,http://movimentoacredito.org/dados/external_img/antenna_2.png,0.4464285714285714,0.4515247879973907,0.4532235268536638,0.45802383407332586,0.4785284042265581,0.500841472512516,0.5226702379745582,0.5244787361072839,0.5217799721411804,0.5217799721411804,0.5255130217627425,0.5309966804598253,0.5264982549087681,0.5191853064193491,0.6820163963021106,0.8529565672422815,0.850366564652279,0.6794352479631668,0.5050590936875151,0.506776952548231,0.3375722148155745,0.3418893330528088,0.3427614767820953,0.5154730484573976,0.5181718124235011,0.6435279377796265,0.6366538453746392,0.6366538453746392,0.507861736683033,0.5138455632546424,0.5059921601132812,0.5051546391752577,0.49917081260364843,0.5070242157450097,0.5139686601894541,0.5181992081300234,0.5086956399721605,0.5105231253522774,0.5168219411749028,0.5291104040637449,0.5309767721115239,0.7092198581560284,0.8922752539773816,1.0714765282975545,1.0659067388355963,1.0527686006974581,1.2170956951716116,1.3047367782629795,1.3794554843107996,1.4073189959706074,1.5261933288187395,1.5209190672153639,1.3787262872628727,1.2415807735483213,1.2504460217752715,1.2676707702939431,1.272989542012261,1.2748080544690714,1.2821137236683702,1.2821137236683702,1.2784921098772648,1.2693985553886866,1.2658378090562552,1.2622770627238238,1.262277062723824,1.2640499237669756,1.2537179221138552,1.5176480500852396,1.6421552092468914,1.7832833310009446,1.6350466833616684,1.62840966205683,2.6584731427131962,5.0139204951173335,7.699915880603381,9.438941333469124,9.801067905796168,9.895314575033199,10.249802136597964,10.968952777623604,11.55514965677367,11.771659558016559,11.544070609497377,11.513789601745438,11.43953291121762,11.538916731531673,11.422346235524214,11.181542125280776,11.108973184787308,11.123159594207083,11.123159594207083,10.721818527716614,10.122836796659412
Desenv. Regional,http://movimentoacredito.org/dados/external_img/regioes_3.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1564945226917058,0.31598415586554945,0.47701475167875396,0.47775293338956387,0.4832798018658852,0.4864528185321553,0.48947652438604977,0.32446002273588476,0.32446002273588476,0.327602305289932,0.48941460302455986,0.4774179920671553,0.4628288230662216,0.4504933564227746,0.4470958787102284,0.4470958787102284,0.4498260491411175,0.433291657606726,0.43395896488838304,0.4375152032417024,0.45744707248864014,0.46087544017421767,0.46087544017421767,0.4629894263064686,0.4651229872196326,0.4643985070341657,0.4622845209019147,0.4567225923031731,0.4511606637044315,0.4471018103305096,0.44577312738747693,0.4424951267056528,0.44315650236702847,0.4465235057340318,0.6239492707939308,0.7896051557894385,0.7960678873706534,0.6289378145931036,0.4747288160444824,0.46690108309826606,0.469896193580404,0.46761766642036023,0.47323075614559945,0.4680621106260767,0.4673169319322259,0.4718101023132468,0.4747218190614417,0.47697874783276967,0.4762119707502031,0.47547378903939314,0.4724786785572552,0.46948356807511726,0.460481670752143,0.3039871480604372,0.14749262536873142,0.0,0.0,0.0,0.0,0.15649452269170563,0.31298904538341143,0.47247867855725517,0.47471431459570806,0.47545249630651804,0.4688680619094327,0.44787895001122985,0.2906462456087141,0.13774104683195568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1700680272108841,0.34100819815105504,0.50602469980122,0.6709650477997159,0.8300578801598749,1.1576522159481335,1.3128399191701259,1.3080101679023162,1.1343785968115798
Direitos Humanos,http://movimentoacredito.org/dados/external_img/handprint_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6600660066006601,1.6179204127309283,2.7542840490945646,3.3692635798345236,3.6864547110448744,3.8392255129869475,3.6877754812643055,3.323476756309843,2.758979999163555,1.8424238310196976,1.142647482768562,0.6276534074791629,0.6302576758750638,0.41928721174004263,0.20964360587002165,6.661338147750939e-16,0.20576131687242863,0.4115226337448566,0.6160216112499691,0.6160216112499691
Economia,http://movimentoacredito.org/dados/external_img/prod-pict-dollar_3.png,0.11098779134295228,0.11135981745918563,0.11119479330981925,0.11199175779792057,0.11245520058801468,0.11278589333972562,0.11253053594151108,0.112445417678196,0.11248717087837005,0.11202786841684288,0.11164954389006382,0.14847865308650415,0.18514673069485954,0.22132422189659215,0.22075126903669795,0.21946872446827417,0.21914670061274696,0.21826401938023507,0.21914091866436636,0.21772609127330808,0.21709732728576547,0.25198176811080036,0.2884052884052884,0.3249108493408168,0.29109050302047046,0.2484702796536852,0.21165439763280883,0.2126644170251812,0.21840160350892956,0.2184789329819756,0.2153707315836121,0.252253768466649,0.28970430549321774,0.3271672096778718,0.3300468929127159,0.329927581103233,0.4031072371588496,0.4760782390462139,0.5512737150802725,0.5905467971634534,0.6305521696666196,0.599619452781175,0.5326164777456041,0.5008860682597185,0.537711755336836,0.6129072546939637,0.6524232087592287,0.6878980911681536,0.6432878782549954,0.5621973016521146,0.48594049843178294,0.4445924472858138,0.437766467117724,0.3944467485530825,0.31857737169257366,0.24305022907964405,0.20512921344836235,0.20498837750252222,0.17101123715371838,0.13706869307053213,0.10291597620430089,0.10295136679252787,0.10288094881960781,0.10305826812060097,0.10305826812060097,0.10355735550367191,0.10330961822975872,0.10313339124940803,0.10256417449166667,0.102599347292118,0.10270486591615517,0.10309417478673473,0.13849800577478802,0.334089510433981,0.8203805294322538,1.1510095116197363,1.5077359103251453,1.6080205894141724,1.8758026050266012,1.9115977878540769,1.913532734933274,1.7941564434988482,1.7143066034095849,1.6338104428229137,1.6168517168061765,1.6097701521617047,1.675116088809128,1.8483125116252719,2.0849084421752666,2.2585211670275,2.391755548510258,2.356863870869336,2.3408986496892425
Educação,http://movimentoacredito.org/dados/external_img/book_2.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1349527665317139,0.39950303108197843,0.665107280749973,0.7989717185193346,0.8032386582701454,0.7960323414186883,0.7807005617056992,0.7692836148048814,0.7692836148048814,0.7702511164254466,0.7634774254412292,0.7529109672219655,0.7490846074293541,0.7472142599187865,0.7481390042269854,0.7408214402440354,0.7417531114758912,0.7399104728173321,0.7472280368002822,0.7500653991882062,0.7556770714665452,0.6327644258678743,0.5094381397508905,0.3871212205589713,0.2594072997416022,0.2604166666666668,0.25991001945525305,0.25991001945525305,0.2554878496439323,0.25252887581605576,0.9905362558898565,2.7473636028883313,5.117499791967572,6.280633096304418,6.3933247501031785,5.727947680231726,5.699466171851043,5.732044404236483,5.928425969439341,5.746588049448025,5.577440712222891,5.0647088306697166,4.98479215951335,4.602070860181397,4.449992455314888,3.950198981543719,3.8271977515314184,4.022877638848331,4.3103679263386185,4.406629758522158,4.347300059651496
Infraestrutura,http://movimentoacredito.org/dados/external_img/bricks_3.png,4.545454545454546,4.718379446640316,4.947388099562013,5.284088436262349,5.485155485155485,5.475468378694186,5.553441088245843,5.504470451039912,5.342790538308106,5.167351941816878,5.006442369142598,5.130393551446184,5.121208284614181,5.226702379745583,4.7200882508404325,4.177636693653623,3.508722035101659,3.324779986328572,3.185860632669144,3.0285604753689874,2.865631589035845,2.7075989032510783,2.523543880486378,2.343363700306198,1.9993643516659112,2.7248261658374027,2.553555994567231,2.569792923839167,1.6651196401336257,1.6504284489718462,1.4327541272512816,1.2634438438793336,1.0741076289411682,1.0646244615632638,1.0528065751922415,1.063889670700817,1.063889670700817,1.0582606248240929,1.048976608187135,1.2216596246287628,1.4055417899350768,1.60179782858242,1.6101525127753575,1.6101525127753575,1.7575205386070014,1.9310730171240191,2.101781030969288,2.10901502350019,2.0943939380673604,2.0870068451654338,2.0870068451654338,2.052975008382123,1.8947057952768667,1.7299588493780884,1.4699697962855869,1.3223155929038295,1.1826830469720708,1.1780145128917718,1.181114567142721,1.1780387797411462,1.1842882914980402,1.18428829149804,1.1842882914980397,1.049386528326746,1.046286474075797,1.0572678997786082,1.0625804927489853,1.075281929599029,1.0785338034913592,1.2145748987854255,1.2145748987854257,1.2145748987854257,1.4557114312316273,2.2002784189928075,2.9897740824812704,3.530402767160531,3.552436478739247,3.652580897532665,3.748008662863343,3.86272329736882,3.8754144579754577,3.9134951891254954,3.9345110981686413,3.8454832389629434,3.7158274162378135,3.6068949543641753,3.6068949543641753,3.5238384759588595,3.3356824054498477,3.1310342356853984,3.1165106984779114,3.1993058632402893,3.1661845065895213
Justiça,http://movimentoacredito.org/dados/external_img/scale_4.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1579778830963665,0.319008478909571,0.47550300160127684,0.4711349495340962,0.46883451245105046,0.47182962293318836,0.47847620216041276,0.47697874783276967,0.47774552491533623,0.6349494321192434,0.6387473235299321,0.645995100878212,0.49860281062877876,0.6759816902808873,0.8556997248984194,1.0402416267655492,1.2337470449172574,1.611162503854456,2.040866300266638,2.4668058127798846,2.689137828590161,2.6667288650047265,2.634800384800384,2.588731588731588,2.9020956440311267,3.272466014401497,3.697322689258172,3.9183501683501674,3.9478114478114463,3.9329152952748445,3.856131194100499,3.8486410383052587,3.5011707518858266,3.2796625487798434,2.9475884227031095,3.1746734763777584,3.7361236753949285,3.8610414926204384,3.740084018721788,3.022380669439492,2.740456954679956,2.809149620216237,3.1168240658217172,3.4370619568264633,3.52209216492671,3.6835283007913624,4.182454661786689,4.811064923424474,5.3418241263545125,5.697115465252408,5.916826701912797,6.194666576725175,6.262586677987872,6.286261684713725,6.379190564281308,6.183529351670942,6.091152486761888,5.466064693532502,5.329293252413236,5.11214630779848,5.450770646422819,5.785714285714285,5.769911504424777,5.039800227228298,3.7198739661255664
Meio Ambiente,http://movimentoacredito.org/dados/external_img/tree_3.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14947683109118087,0.29895366218236175,0.44978322477663024,0.4452339299173334,0.4452339299173334,0.4387045116232093,0.43933738296046637,0.43605938227864227,0.4425888005727665,0.4425888005727665,0.44069011446355405,0.4354209594384268,0.4341606961694299,0.4386700756788094,0.44191919191919204,0.4451116729877793,0.44379477454698707,0.44313339888561143,0.44313339888561143,0.4485459722936383,0.45260482566756016,0.4566273518139801,0.4566273518139801,0.4573255490686685,0.4573255490686685,0.4566273518139801,0.45804314069154267,0.6068282894766915,1.5657323990657328,3.2632632632632634,5.469228627123364,7.178630336525074,8.543152753679069,9.161887089518668,9.394809383509665,8.854834141267808,8.33030695450658,7.805607472186671,7.444023260237496,7.372286079182633,7.174552778001055,7.388473595370148,7.618358652841413,8.317659352142114,9.185951320807463,9.221741808797004,8.969216556271752,8.34996673320027
Minas e Energia,http://movimentoacredito.org/dados/external_img/ray_2.png,0.4329004329004329,0.4329004329004329,0.4322784495198288,0.43103982167175886,0.429189819821757,0.42796180135235923,0.4255472609902989,0.4243400563932638,0.42194593635208494,0.4225418981151782,0.4231429318932765,0.4261484259363873,0.42735563053342246,0.4267545967553241,0.4243400563932638,0.42313285179622867,0.42373388557432695,0.42373388557432695,0.425552464173294,0.425552464173294,0.42735563053342246,0.4267442565314905,0.42735042735042733,0.4267442565314905,0.42922165031323206,0.4239457191113749,0.42577990839970953,0.4245305330873657,0.4310344827586207,0.4322838580709645,0.43480452756078103,0.4373251970505976,0.4360758217382537,0.5565436579955637,0.6770114942528735,0.7978835978835979,0.8022196412440316,0.8076618181147799,0.8152203971019304,0.8152203971019304,0.8119287578655907,0.810822624355276,0.8130439580440227,0.8174507974587945,0.8350483760319828,0.8491806541552163,0.8584424861455839,0.8487822254392982,0.8427198557802459,0.8312366901011314,0.8300744399849065,0.8288925326228056,0.8333719162596172,0.8368880906618674,0.8368880906618674,0.8403460248919584,0.841537948418145,0.8439117793064325,0.8415969243031628,0.8323350923127951,0.8208519266336807,0.8174507974587946,0.8141322868063754,0.8152384203166901,0.819792154378621,0.8323724970214078,0.8346120759805634,0.8256515025038609,0.8109032439328536,0.9397806278878958,1.0824860573316766,1.3657126275242926,2.0135378721237305,3.794997694519225,5.819791082948977,7.483672158594758,7.945556959091576,8.372802386337002,8.825291074119809,9.267768950226005,9.538575471032525,9.659644940558865,9.807137565927597,9.940735449525482,9.985578498852837,10.249512670565304,10.350877192982457,10.480747322852586,10.31986476711827,10.482164790303989,10.673932087334443,10.881598268799749,10.833714721586572
Presidência,http://movimentoacredito.org/dados/external_img/bandeira_brasil.jpeg,2.6470588235294117,2.5992899613230964,2.5875608289162524,2.56329369632064,2.5346144081863806,2.489761302108785,2.432187821417777,2.4124133328493294,2.417101925078201,2.4476145279362735,2.445069266680004,2.454708750003698,2.3854144712972136,2.4328514247956052,2.4850733038533863,2.595785491763813,2.6308356770054218,2.641288126677015,2.594533360119645,2.555657768606228,2.5516082245290357,2.5999406454081995,2.624564969050199,2.58336339839472,2.5799896702902156,2.4880409944115036,2.424988669041744,2.333718401673549,2.3095855417569506,2.3163791430903076,2.402803510090214,2.457825132688359,2.4689449955433838,2.371465642744882,2.3434579403678772,2.3242772850508673,2.3197810088343274,2.2277464563376164,2.1269736997311264,2.0273996706747717,2.0706849800963885,2.2959495515826833,2.5840792962341674,2.8642532990359073,2.963482963482963,3.039294382577964,3.0311973804929857,2.9872920890629424,2.8556735248236205,2.8725923697915774,2.9277887788034107,3.1297388301318327,3.4131743016814595,3.7087648271425,4.009595112818566,4.1518016131314655,4.383482162786166,4.518298171962062,4.719823882094971,4.830054464174467,4.969991453614594,4.895169156570074,4.902833944327958,5.002562721648198,5.222230156227913,5.330776007703039,5.532514800169334,5.963801349876937,6.46008042726604,6.9763800374826,7.282146258741779,7.633539816108914,7.946067339184068,9.601798768372062,12.09724870273177,14.653470638472792,15.374512670565302,15.081790073658155,14.572270998994227,14.293164792849394,14.0046987485968,13.51405915786338,13.096916132608337,12.538370424743915,12.191125327350585,12.219900789581779,12.453831712641225,12.95298432839886,13.554405870224995,14.264377109750589,15.05065572751569,15.374187938001938,15.138566096288919
Relações Exteriores,http://movimentoacredito.org/dados/external_img/partenon_3.png,0.5050505050505051,0.5063323591242372,0.5084950770229958,0.5084950770229958,0.5111116451322636,0.5111116451322637,0.5119662145147519,0.5193563782068776,0.5247830503002163,0.5319451556010696,0.5291005291005292,0.5338931063568745,0.5284664342635356,0.5221676184409103,0.5093583665012236,0.5102395014029769,0.5137825853032036,0.5181439886283375,0.520842752594441,0.5190529473252543,0.5181626814918765,0.5181626814918765,0.5199524867610631,0.5235697774103668,0.526354672141346,0.5263546721413459,0.5236276473254202,0.5199337938975241,0.5121601620567281,0.5112698962233502,0.5060089534624075,0.5128830458673947,0.5128830458673947,0.5190529473252542,0.5208614454579799,0.5199803105562264,0.5181718124235007,0.5145919135556438,0.52095670715448,0.5303944979564091,0.5426045101664213,0.5474489081046455,0.5454797258075943,0.5464916052725124,0.5223201258916474,0.5096441333161573,0.4938322390512244,0.5025210226215245,0.49761846103309465,0.49347190516240086,0.488617536230362,0.4894146030245594,0.49022749219524986,0.4959193820653121,0.4983581685251697,0.4983581685251697,0.49752064758714626,0.5008879060494876,0.5059394316102069,0.5102129358837112,0.5068456774213698,0.5034443168771522,0.499170812603648,0.5034013605442172,0.5034013605442172,0.5025721731478656,0.5000083335416714,0.493598077131415,0.49526478546579006,0.49115929067155745,0.4984070680198373,0.5001076181478036,0.49852122307197394,0.33101703546728384,0.34496248088481046,0.18315018315018264,0.18315018315018264,0.0,0.0,0.0,0.0,0.0,0.18315018315018264,0.36731224576528393,0.5494616082425153,0.5494616082425152,0.5494616082425153,0.5514743083803851,0.5514743083803852,0.5556361629027604,0.5546242834378422,0.557693839580024,0.5476230418721376
Saúde,http://movimentoacredito.org/dados/external_img/sus_2.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08149959250203749,0.1772850331150643,0.2770854323166611,0.29055260144805195,0.29082864018180704,0.2879274657864118,0.28957906164090624,0.2904168071003259,0.2884843439275526,0.28820510011978406,0.2862726369470108,0.19130587531358248,0.09496676163342836,5.551115123125783e-17,5.551115123125783e-17,0.09661835748792276,0.198867846240479,0.41323011848056473,0.536633763192862,0.6642693319115702,0.6758957602364563,0.6737386817835129,0.6541585664783894,0.628370066113618,0.6175444798404613,0.6080427505257261,0.6074433487287195,0.6030382564420362,0.5051157020268446,0.40776439237620726,0.30737963594132683,0.3061249937652754,0.30675616344893314,0.3064434738808825,0.30769811605693387,0.30582755863082084,0.3033932470085043,0.2985518042585648,0.2985518042585648,0.2953884303765299,0.2923159763236836,0.37804723852553407,0.4695015520754269,0.565010980918189,0.4735077129443328,0.3788241553604683,0.2830449345812476,0.279887870650703,0.2801486826104962,0.282350937719728,0.28633138575895933,0.38075413138303055,0.47059626978878044,0.5633922030954451,0.6480783398980957,0.7301541809872196,0.8978030071929529,1.0662405507440296,1.3321827047317243,1.5147600238240269,1.6927642248167334,1.604832391103477,1.510193277596439,2.762020268339686,4.607961703199798,6.55713428003195,6.955146888216586,7.253051503910494
Turismo,http://movimentoacredito.org/dados/external_img/umbrella_2.png,0.36363636363636365,0.3623235969806367,0.36320356587030284,0.3649926746704817,0.3690338406815814,0.37038056947733655,0.3694794615651585,0.36543829555405877,0.3619113785644588,0.3592855694870369,0.3588527027840094,0.35633745408879464,0.3550664507587659,0.35294800417327815,0.35253905639590927,0.3508858632533544,0.3484404868487913,0.3484404868487913,0.34884943462616014,0.34805671810555144,0.3468468553039932,0.3480911006691792,0.351329193594351,0.35253905639590927,0.35467269014487446,0.33579902833992326,0.3366198038085861,0.3397396504904063,0.35459332491811785,0.35542574259200993,0.35059291450888524,0.35137480896095313,0.3481140280039139,0.3436453171051343,0.3436453171051343,0.3428580395110546,0.34325032559745167,0.22870278836950206,0.11454753722794954,0.0,0.0,0.0,0.0,0.13333333333333328,0.13333333333333328,0.13333333333333328,0.12578616352201252,0.2506301085906767,0.37273023069079875,0.37178801223745034,0.36684814390739523,0.36684814390739523,0.36105181788635016,0.36192068800764443,0.36192068800764443,0.36678880625866234,0.36856487900660206,0.36636883364508904,0.36455321844657423,0.36455321844657423,0.36369676075558416,0.3602206006957942,0.3584445279478545,0.3576002185929068,0.3588803332911838,0.3606564060391235,0.3632260432063555,0.3640949133276498,0.36454712373210674,0.36677540688450344,0.3663394034662366,0.3641111203138399,0.36321001240166195,0.6132434393303957,0.9975209975209974,1.3882413882413882,1.5080670963023906,1.8688174570527512,2.2692389533646584,3.148905888631916,3.634456374182402,4.054547698383315,4.054547698383314,4.073059360730594,4.091077378748611,2.721214365049981,1.351351351351351,0.0,0.0,0.0,0.45977011494252845,0.805193258293133,1.1257060788059536
